StudentID,LastName,FirstName,DOB,Address,MathGrade,LiteratureGrade,EnglishGrade
23010001,Nguyễn Văn,An,12-08-2004,Hà Nội,8.5,7.0,9.2
23010002,Trần Thị,Bình,22-03-2004,TP. Hồ Chí Minh,7.0,8.1,7.5
23010003,Lê Văn,Cường,05-11-2004,Đà Nẵng,9.1,6.5,8.8
23010004,Phạm Thị,Dung,30-01-2004,Hải Phòng,6.5,9.0,7.1
23010005,Hoàng Minh,Em,19-07-2004,Cần Thơ,5.8,7.2,6.9
23010006,Võ Ngọc,Giang,01-09-2003,Nghệ An,8.9,8.5,9.0
23010007,Đặng Thị,Hà,14-05-2004,Hà Nội,7.7,7.8,8.2
23010008,Bùi Đức,Hiếu,25-12-2003,Thanh Hóa,9.5,6.0,7.8
23010009,Hồ Thị,Hương,18-02-2004,Huế,8.2,8.8,8.5
23010010,Ngô Văn,Khánh,08-10-2004,Quảng Ninh,6.1,7.5,
23010011,Dương Thị,Lan,27-06-2004,Bắc Ninh,7.8,8.2,9.1
23010012,Lý Văn,Minh,11-04-2003,Lạng Sơn,8.0,6.8,7.3
23010013,Trịnh Thị,Nga,03-08-2004,Nam Định,,8.9,9.5
23010014,Mai Văn,Nam,15-01-2004,Bình Dương,9.2,7.1,8.0
23010015,Phan Thị,Oanh,20-09-2004,Đồng Nai,7.5,7.5,7.5
23010016,Đỗ Văn,Phúc,07-07-2003,Vũng Tàu,8.8,9.0,8.9
23010017,Đinh Thị,Quỳnh,10-03-2004,Gia Lai,6.9,7.8,7.2
23010018,Vương Văn,Sơn,13-11-2004,Hà Giang,9.0,6.2,8.1
23010019,Tô Thị,Trang,01-05-2004,Thái Bình,8.3,8.3,8.3
23010020,Lưu Văn,Tuấn,29-05-2004,Vĩnh Phúc,7.2,8.0,7.9
23010021,Nguyễn Thị,Anh,11-09-2004,Hà Nội,9.0,8.5,9.5
23010022,Trần Văn,Bảo,01-12-2003,TP. Hồ Chí Minh,7.8,7.0,8.2
23010023,Lê Thị,Chi,16-04-2004,Hải Phòng,8.5,9.1,8.8
23010024,Phạm Văn,Dũng,28-02-2004,Đà Nẵng,6.8,7.5,7.0
23010025,Hoàng Thị,Giang,03-10-2004,Đà Nẵng,7.2,8.0,7.7
23010026,Võ Văn,Hải,15-08-2003,Quảng Ninh,9.3,7.8,8.5
23010027,Đặng Minh,Hùng,09-06-2004,Nghệ An,8.1,8.6,8.3
23010028,Bùi Thị,Huyền,21-01-2004,Thanh Hóa,7.9,8.2,
23010029,Hồ Văn,Kiên,23-11-2003,Huế,6.5,7.0,6.8
23010030,Ngô Thị,Linh,04-07-2004,Bắc Ninh,9.5,9.0,9.2
23010031,Dương Văn,Long,18-05-2004,Nam Định,8.7,7.9,8.1
23010032,Lý Thị,Mai,29-10-2003,Lạng Sơn,7.0,8.5,8.0
23010033,Trịnh Văn,Nghĩa,14-02-2004,Hà Nam,,7.2,7.5
23010034,Mai Thị,Ngọc,07-09-2004,Bình Dương,8.3,8.8,8.5
23010035,Phan Văn,Phong,25-06-2003,Đồng Nai,7.4,6.9,7.1
23010036,Đỗ Thị,Phương,12-12-2004,Vũng Tàu,9.1,9.2,9.0
23010037,Đinh Văn,Quân,05-03-2004,Gia Lai,6.7,7.3,6.9
23010038,Vương Thị,Thảo,18-09-2003,Hà Giang,8.0,8.1,8.2
23010039,Tô Văn,Thành,22-07-2004,Thái Bình,7.6,7.0,7.8
23010040,Lưu Thị,Thủy,01-01-2004,Vĩnh Phúc,8.9,8.7,9.1
23010041,Nguyễn Đức,Tài,20-08-2004,Hà Nội,9.2,7.5,8.9
23010042,Trần Công,Thành,11-11-2003,TP. Hồ Chí Minh,7.5,8.2,7.9
23010043,Lê Quang,Vinh,15-06-2004,Đà Nẵng,8.8,8.0,9.1
23010044,Phạm Mỹ,Linh,02-02-2004,Hải Phòng,8.5,9.5,9.0
23010045,Hoàng Gia,Bảo,10-10-2004,Cần Thơ,7.0,7.8,7.2
23010046,Võ Thủy,Dương,30-07-2003,Quảng Ninh,9.4,8.1,8.7
23010047,Đặng Bảo,Châu,25-04-2004,Nghệ An,8.2,8.8,8.4
23010048,Bùi Tuấn,Kiệt,15-03-2004,Thanh Hóa,7.8,7.2,7.5
23010049,Hồ Ngọc,Trâm,08-12-2003,Huế,8.1,8.5,8.3
23010050,Ngô Gia,Hân,02-09-2004,Bắc Ninh,9.6,9.1,9.4
23010051,Nguyễn Văn,Bách,11-07-2004,Hà Nội,8.1,7.3,8.9
23010052,Trần Thị,Cúc,21-02-2004,TP. Hồ Chí Minh,7.2,8.0,7.6
23010053,Lê Văn,Đạt,04-10-2004,Đà Nẵng,9.0,6.7,8.7
23010054,Phạm Thị,Hằng,29-01-2004,Hải Phòng,6.7,8.9,7.0
23010055,Hoàng Minh,Khoa,18-06-2004,Cần Thơ,5.9,7.1,6.8
23010056,Võ Ngọc,Lâm,31-08-2003,Nghệ An,8.8,8.4,8.9
23010057,Đặng Thị,My,13-04-2004,Hà Nội,7.6,7.7,8.1
23010058,Bùi Đức,Nhân,24-11-2003,Thanh Hóa,9.4,6.1,7.7
23010059,Hồ Thị,Phương,17-01-2004,Huế,8.1,8.7,8.4
23010060,Ngô Văn,Quang,07-09-2004,Quảng Ninh,6.0,7.4,
23010061,Dương Thị,Quyên,26-05-2004,Bắc Ninh,7.7,8.1,9.0
23010062,Lý Văn,Tâm,10-03-2003,Lạng Sơn,7.9,6.7,7.2
23010063,Trịnh Thị,Thắm,02-07-2004,Nam Định,,8.8,9.4
23010064,Mai Văn,Thắng,14-01-2004,Bình Dương,9.1,7.0,7.9
23010065,Phan Thị,Trúc,19-08-2004,Đồng Nai,7.4,7.4,7.4
23010066,Đỗ Văn,Trung,06-06-2003,Vũng Tàu,8.7,8.9,8.8
23010067,Đinh Thị,Tuyết,09-02-2004,Gia Lai,6.8,7.7,7.1
23010068,Vương Văn,Việt,12-10-2004,Hà Giang,8.9,6.1,8.0
23010069,Tô Thị,Yến,20-03-2004,Thái Bình,8.2,8.2,8.2
23010070,Lưu Văn,An,28-04-2004,Vĩnh Phúc,7.1,7.9,7.8
23010071,Nguyễn Thị,Ánh,10-08-2004,Hà Nội,9.2,8.6,9.6
23010072,Trần Văn,Cảnh,11-11-2003,TP. Hồ Chí Minh,8.0,7.5,8.3
