StudentID,LastName,FirstName,DOB,Address,MathGrade,LiteratureGrade,EnglishGrade
23010001,Nguyễn Văn,An,2004-08-12,Hà Nội,8.5,7.0,9.5
23010002,Trần Thị,Bình,2004-03-22,TP. Hồ Chí Minh,7.0,8.1,7.5
23010003,Lê Văn,Cường,2004-11-05,Đà Nẵng,9.1,6.5,8.8
23010004,Phạm Thị,Dung,2004-01-30,Hải Phòng,6.5,9.0,7.1
23010005,Hoàng Minh,Em,2004-07-19,Cần Thơ,5.8,7.2,6.9
23010006,Võ Ngọc,Giang,2003-09-01,Nghệ An,8.9,8.5,9.0
23010007,Đặng Thị,Hà,2004-05-14,Hà Nội,7.7,7.8,8.2
23010008,Bùi Đức,Hiếu,2003-12-25,Thanh Hóa,9.5,6.0,7.8
23010009,Hồ Thị,Hương,2004-02-18,Huế,8.2,8.8,8.5
23010010,Ngô Văn,Khánh,2004-10-08,Quảng Ninh,6.1,7.5,
23010011,Dương Thị,Lan,2004-06-27,Bắc Ninh,7.8,8.2,9.1
23010012,Lý Văn,Minh,2003-04-11,Lạng Sơn,8.0,6.8,7.3
23010013,Trịnh Thị,Nga,2004-08-03,Nam Định,,8.9,9.5
23010014,Mai Văn,Nam,2004-01-15,Bình Dương,9.2,7.1,8.0
23010015,Phan Thị,Oanh,2004-09-20,Đồng Nai,7.5,7.5,7.5
23010016,Đỗ Văn,Phúc,2003-07-07,Vũng Tàu,8.8,9.0,8.9
23010017,Đinh Thị,Quỳnh,2004-03-10,Gia Lai,6.9,7.8,7.2
23010018,Vương Văn,Sơn,2004-11-13,Hà Giang,9.0,6.2,8.8
23010019,Tô Thị,Trang,2004-05-01,Thái Bình,8.3,8.3,8.3
23010020,Lưu Văn,Tuấn,2004-05-29,Vĩnh Phúc,7.2,8.0,7.9
23010021,Nguyễn Thị,Anh,2004-09-11,Hà Nội,9.0,8.5,9.5
23010022,Trần Văn,Bảo,2003-12-01,TP. Hồ Chí Minh,7.8,7.0,8.2
23010023,Lê Thị,Chi,2004-04-16,Hải Phòng,8.5,9.1,8.8
23010024,Phạm Văn,Dũng,2004-02-28,Đà Nẵng,6.8,7.5,7.0
23010025,Hoàng Thị,Giang,2004-10-03,Đà Nẵng,7.2,8.0,7.7
23010026,Võ Văn,Hải,2003-08-15,Quảng Ninh,9.3,7.8,8.5
23010027,Đặng Minh,Hùng,2004-06-09,Nghệ An,8.1,8.6,8.3
23010028,Bùi Thị,Huyền,2004-01-21,Thanh Hóa,7.9,8.2,
23010029,Hồ Văn,Kiên,2003-11-23,Huế,6.5,7.0,6.8
23010030,Ngô Thị,Linh,2004-07-04,Bắc Ninh,9.5,9.0,9.2
23010031,Dương Văn,Long,2004-05-18,Nam Định,8.7,7.9,8.1
23010032,Lý Thị,Mai,2003-10-29,Lạng Sơn,7.0,8.5,8.0
23010033,Trịnh Văn,Nghĩa,2004-02-14,Hà Nam,,7.2,7.5
23010034,Mai Thị,Ngọc,2004-09-07,Bình Dương,8.3,8.8,8.5
23010035,Phan Văn,Phong,2003-06-25,Đồng Nai,7.4,6.9,7.1
23010036,Đỗ Thị,Phương,2004-12-12,Vũng Tàu,9.1,9.2,9.0
23010037,Đinh Văn,Quân,2004-03-05,Gia Lai,6.7,7.3,6.9
23010038,Vương Thị,Thảo,2003-09-18,Hà Giang,8.0,8.1,8.2
23010039,Tô Văn,Thành,2004-07-22,Thái Bình,7.6,7.0,7.8
23010040,Lưu Thị,Thủy,2004-01-01,Vĩnh Phúc,8.9,8.7,9.1
23010041,Nguyễn Đức,Tài,2004-08-20,Hà Nội,9.2,7.5,8.9
23010042,Trần Công,Thành,2003-11-11,TP. Hồ Chí Minh,7.5,8.2,7.9
23010043,Lê Quang,Vinh,2004-06-15,Đà Nẵng,8.8,8.0,9.1
23010044,Phạm Mỹ,Linh,2004-02-02,Hải Phòng,8.5,9.5,9.0
23010045,Hoàng Gia,Bảo,2004-10-10,Cần Thơ,7.0,7.8,7.2
23010046,Võ Thủy,Dương,2003-07-30,Quảng Ninh,9.4,8.1,8.7
23010047,Đặng Bảo,Châu,2004-04-25,Nghệ An,8.2,8.8,8.4
23010048,Bùi Tuấn,Kiệt,2004-03-15,Thanh Hóa,7.8,7.2,7.5
23010049,Hồ Ngọc,Trâm,2003-12-08,Huế,8.1,8.5,8.3
23010050,Ngô Gia,Hân,2004-09-02,Bắc Ninh,9.6,9.1,9.4
23010051,Nguyễn Văn,Bách,2004-07-11,Hà Nội,8.1,7.3,8.9
23010052,Trần Thị,Cúc,2004-02-21,TP. Hồ Chí Minh,7.2,8.0,7.6
23010053,Lê Văn,Đạt,2004-10-04,Đà Nẵng,9.0,6.7,8.7
23010054,Phạm Thị,Hằng,2004-01-29,Hải Phòng,6.7,8.9,7.0
23010055,Hoàng Minh,Khoa,2004-06-18,Cần Thơ,5.9,7.1,6.8
23010056,Võ Ngọc,Lâm,2003-08-31,Nghệ An,8.8,8.4,8.9
23010057,Đặng Thị,My,2004-04-13,Hà Nội,7.6,7.7,8.1
23010058,Bùi Đức,Nhân,2003-11-24,Thanh Hóa,9.4,6.1,7.7
23010059,Hồ Thị,Phương,2004-01-17,Huế,8.1,8.7,8.4
23010060,Ngô Văn,Quang,2004-09-07,Quảng Ninh,6.0,7.4,
23010061,Dương Thị,Quyên,2004-05-26,Bắc Ninh,7.7,8.1,9.0
23010062,Lý Văn,Tâm,2003-03-10,Lạng Sơn,7.9,6.7,7.2
23010063,Trịnh Thị,Thắm,2004-07-02,Nam Định,,8.8,9.4
23010064,Mai Văn,Thắng,2004-01-14,Bình Dương,9.1,7.0,7.9
23010065,Phan Thị,Trúc,2004-08-19,Đồng Nai,7.4,7.4,7.4
23010066,Đỗ Văn,Trung,2003-06-06,Vũng Tàu,8.7,8.9,8.8
23010067,Đinh Thị,Tuyết,2004-02-09,Gia Lai,6.8,7.7,7.1
23010068,Vương Văn,Việt,2004-10-12,Hà Giang,8.9,6.1,8.0
23010069,Tô Thị,Yến,2004-03-20,Thái Bình,8.2,8.2,8.2
23010070,Lưu Văn,An,2004-04-28,Vĩnh Phúc,7.1,7.9,7.8
23010071,Nguyễn Thị,Ánh,2004-08-10,Hà Nội,9.2,8.6,9.6
23010072,Trần Văn,Cảnh,2003-11-11,TP. Hồ Chí Minh,8.0,7.5,8.3
